id	lifestyle	species	Kingdom name	Phylum name	Class name	Order name	Family name	Genus name
Absidia_glauca	Saprotrophic	Absidia glauca	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia
Absidia_repens	Saprotrophic	Absidia repens	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia
Acaromyces_ingoldii	Entomopathogenic	Acaromyces ingoldii	Fungi	Basidiomycota	Exobasidiomycetes	Exobasidiales	Cryptobasidiaceae	Acaromyces
Acaulopage_tetraceros	Animal pathogen	Acaulopage tetraceros	Fungi	Zoopagomycota	Zoopagomycetes	Zoopagales	Zoopagaceae	Acaulopage
Aciculoconidium_aculeatum	Unknown	Aciculoconidium aculeatum	Fungi	Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Aciculoconidium
Aciculosporium_take	Plant pathogen	Aciculosporium take	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Aciculosporium
Acidomyces_richmondensis	Saprotrophic	Acidomyces richmondensis	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Acidomyces
Acremonium_chrysogenum	Saprotrophic	Acremonium chrysogenum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Hapsidospora
Acremonium_furcatum	Saprotrophic	Acremonium furcatum	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Furcasterigmium
Actinomucor_elegans	Animal pathogen	Actinomucor elegans	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Actinomucor
Agaricales_sp._HM26F1	Unknown	Agaricales *	Fungi	Basidiomycota	Agaricomycetes	Agaricales		
Agaricus_bisporus	Saprotrophic	Agaricus bisporus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus
Agrocybe_cylindracea	Saprotrophic	Agrocybe cylindracea	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe
Albatrellus_ellisii	Saprotrophic	Albatrellus ellisii	Fungi	Basidiomycota	Agaricomycetes	Russulales	Albatrellaceae	Albatrellus
Albatrellus_sp._MG142	Unknown	Albatrellus sp. MG142	Fungi	Basidiomycota	Agaricomycetes	Russulales	Albatrellaceae	Albatrellus
Albophoma_yamanashiensis	Saprotrophic	Albophoma yamanashiensis	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Albophoma
